"Descrizione","Tipo","Chiuso","Indirizzo","Cap","Citta","Prov.","lat","long"
"BISTRO AVANTI","RISTORANTE / PIZZERIA","MAI","VIA LORIS MUSY, 1",39100,"BOLZANO","BZ",46.4674375396805,11.3301583136979
"BISTRO CRISPI BAR","BAR TAVOLA CALDA","XXX","VIA FRANCESCO CRISPI, 15",39100,"BOLZANO","BZ",46.4987799881486,11.3592400082197
"BISTRO' DALMAZIA BAR","BAR TAVOLA CALDA","LUN","V. DALMAZIA, 39/A",39100,"BOLZANO","BZ",46.4915200027132,11.3382799696821
"BISTRO' EGETMANN","RISTORANTE","DOM","VIA STEINACKER, 27",39040,"TERMENO SULLA STRADA DEL VINO","BZ",46.3343399978868,11.2455600273076
"BISTRO GALILEO MENSA","MENSA","XXX","VIA GALILEO GALILEI, 2",39100,"BOLZANO","BZ",46.4871846104183,11.3417245383988
"BISTRO' GALLERY BAR","BAR TAVOLA FREDDA","XXX","VIA AMBA ALAGI, 26",39100,"BOLZANO","BZ",46.4985900123131,11.341359983823
"BISTRO' GAMBRINUS BAR","TRATTORIA","SAB","VIALE AMEDEO DUCA D'AOSTA, 21",39100,"BOLZANO","BZ",46.5005900182298,11.3366999809335
"BISTRO HELLWEGER'S","RISTORANTE / PIZZERIA","DOM","PIAZZA DUOMO, 30",39012,"MERANO","BZ",46.6712500092905,11.1643900122328
"BISTRO' LE SOMMELIER BAR","BAR TAVOLA CALDA","DOM","P.ZA MUNICIPIO, 5",39031,"BRUNICO","BZ",46.7962800091115,11.9359499830454
"BISTRO LISZT RISTORANTE","RISTORANTE / PIZZERIA","GIO","CORSO DELLA LIBERTA', 49",39012,"MERANO","BZ",46.6710000190283,11.1613899614482
"BISTRO MAIRES SELF SERVICE","SELF-SERVICE","MAI","VIA EUROPA, 3",39031,"BRUNICO","BZ",46.795360011419,11.9308699629879
"BISTRO' MERANCENTER BAR","BAR TAVOLA CALDA","S&D","V. A. KUPERION, 30/C/D",39012,"MERANO","BZ",46.6525400088413,11.158659975584
"BISTRO MIKO BAR","BAR TAVOLA CALDA","XXX","VIA PILLHOF, 3",39057,"APPIANO SULLA STRADA DEL VINO","BZ",46.478719998374,11.2810999673238
"BISTRO MOZART BAR","BAR TAVOLA CALDA","DO","VIA KARL WOLF, 73",39012,"MERANO","BZ",46.6789099791455,11.1531900293907
"BISTRO PORTIKUS BAR","BAR TAVOLA CALDA","MAI","VIA PORTICI, 32",39044,"EGNA","BZ",46.3128299807724,11.2713799771254
"BISTRO' ROMANTIK","RISTORANTE","MAI","VIC. DELLA PARROCCHIA 2",39100,"BOLZANO","BZ",46.4989629231854,11.353560346809
"BISTRO' TAPAS BAR","BAR TAVOLA CALDA","DOM","VIA SANTA CROCE, 2",39042,"BRESSANONE","BZ",46.7159499864634,11.6545600218952
"BISTRO UNIVERSAL BAR","BAR TAVOLA CALDA","S&D","VIA VITTORIO VENETO, 67",39042,"BRESSANONE","BZ",46.6999299902003,11.6468400376136
"BISTRO VICINO BARBZ","BAR TAVOLA CALDA","DO","VIA DOTTOR JULIUS PERATHONER, 19",39100,"BOLZANO","BZ",46.4967899986062,11.3556900207678
"BISTRO 12 BAR","BAR TAVOLA CALDA","XXX","VIA CASSA DI RISPARMIO, 12",39100,"BOLZANO","BZ",46.5003399860581,11.3492500369201
"BISTRO 20 RISTORANTE","RISTORANTE / PIZZERIA","DOM","VIA GALILEO GALILEI, 20",39100,"BOLZANO","BZ",46.4864600154042,11.3369200058919
"BISTROT GIESSER","BAR TAVOLA CALDA","MAI","FRAZIONE MULES, 92",39040,"CAMPO DI TRENS","BZ",46.854455020103,11.522920820586
"BISTROT SPORT ARENA BAR RISTORANTE","RISTORANTE / PIZZERIA","MAI","GANSBODEN, 14",39015,"SAN LEONARDO IN PASSIRIA","BZ",46.8158300019875,11.2411799799843
"BIWAK RISTORANTE PIZZERIA","RISTORANTE / PIZZERIA","XXX","VIA BRENNERO, 12",39049,"VIPITENO","BZ",46.9041400155537,11.4295999665883
